271	KOT GHULAM MUHAMMAD	SINDH
272	KOT MOMEN	PUNJAB
273	KOT RADHA KIRSHAN	PUNJAB
274	KOT SARAE	SINDH
275	KOTAK	SINDH
276	KOTALI LOHARAN	PUNJAB
277	KOTLI	AZAD KASHMIR
278	KOTLI SATIYAN	PUNJAB
279	KOTRI	SINDH
280	KURRAM	GILGIT BALTISTAN
281	KURRAM AGENCY	ISLAMABAD
282	LAAR	PUNJAB
283	LAHORE	PUNJAB
284	LAHRI	BALOCHISTAN
285	LAKKI MARWAT	KHYBER PUKHTUNKHAWA
286	LALAMUSA	PUNJAB
287	LARKANA	SINDH
288	LASBELA	BALOCHISTAN
289	LATIFABAD	SINDH
290	LAYYAH	PUNJAB
291	LIAQAT ABAD PIPLAN	PUNJAB
292	LIAQUAT PUR	PUNJAB
293	LIARI	BALOCHISTAN
294	LODHRAN	PUNJAB
295	LORALAI	BALOCHISTAN
296	LOWER DIR	KHYBER PUKHTUNKHAWA
297	LUND	SINDH
298	MACH	BALOCHISTAN
299	MADINA TOWN	PUNJAB
300	MADYAN	KHYBER PUKHTUNKHAWA
301	MAILSI	PUNJAB
302	MAKHDOOM ALI	PUNJAB
303	MAKLI	SINDH
304	MALAKAND	KHYBER PUKHTUNKHAWA
305	MALAKAND PROTECTED	KHYBER PUKHTUNKHAWA
306	MALIKWAL	PUNJAB
307	MAMOORI	PUNJAB
308	MAND	BALOCHISTAN
309	MANDI BAHAUDDIN	PUNJAB
310	MANDI WARBURTON	PUNJAB
311	MANGAMANDI	PUNJAB
312	MANGLA	AZAD KASHMIR
313	MANGORA	KHYBER PUKHTUNKHAWA
314	MANGUCHAR	BALOCHISTAN
315	MANJHAND	SINDH
316	MANSEHRA	KHYBER PUKHTUNKHAWA
317	MARDAN	KHYBER PUKHTUNKHAWA
318	MASHKI CHAH	BALOCHISTAN
319	MASLTI	BALOCHISTAN
320	MASTUJ	KHYBER PUKHTUNKHAWA
321	MASTUNG	BALOCHISTAN
322	MATHI	SINDH
323	MATIARI	SINDH
324	MATLI	SINDH
325	MAUZA GADAI	KHYBER PUKHTUNKHAWA
326	MEHAR	SINDH
327	MEHRABPUR	SINDH
328	MEKHTAR	BALOCHISTAN
329	MERUI	BALOCHISTAN
330	MIAN CHUNNU	PUNJAB
331	MIANEZ	BALOCHISTAN
332	MIANWALI	PUNJAB
333	MINAWALA	PUNJAB
334	MIRAN SHAH	GILGIT BALTISTAN
335	MIRPUR BATHORO	SINDH
336	MIRPUR MATHELO	SINDH
337	MIRPUR SAKRO	SINDH
338	MIRPURKHAS	SINDH
339	MITHA TAWANA	PUNJAB
340	MOHAMAND	GILGIT BALTISTAN
341	MORO	SINDH
342	MULTAN	PUNJAB
343	MUMTAZ ABAD	PUNJAB
344	MUNKIRA	PUNJAB
345	MURGHA KIBZAI	BALOCHISTAN
346	MURIDKE	PUNJAB
347	MURREE	PUNJAB
348	MUSAKHEL	BALOCHISTAN
349	MUZAFFARABAD	AZAD KASHMIR
350	MUZAFFARGARH	PUNJAB
351	NAGAR	GILGIT BALTISTAN
352	NAGAR PARKAR	SINDH
353	NAGHA KALAT	BALOCHISTAN
354	NANDI PUR	PUNJAB
355	NANKANA SAHIB	PUNJAB
356	NAOKOT	SINDH
357	NAROWAL	PUNJAB
358	NARUNG	PUNJAB
359	NASEERABAD	BALOCHISTAN
360	NASIRABAD	BALOCHISTAN
361	NATHIA GALLI	KHYBER PUKHTUNKHAWA
362	NAUDERO	SINDH
363	NAUROZ KALAT	BALOCHISTAN
364	NAUSHAHRO FEROZE	SINDH
365	NAWAB SHAH	SINDH
366	NAZIM ABAD	SINDH
367	NEW SUKKUR	SINDH
368	NOOR PUR THAL	PUNJAB
369	NOORIABAD	SINDH
370	NORTH WAZIRISTAN	ISLAMABAD
371	NOSHKI	BALOCHISTAN
372	NOWSHERA	KHYBER PUKHTUNKHAWA
373	NUR GAMMA	BALOCHISTAN
374	NUR PUR	PUNJAB
375	NUSHKI	BALOCHISTAN
376	NUTTAL	BALOCHISTAN
377	OGHI	KHYBER PUKHTUNKHAWA
378	OKARA	PUNJAB
379	ORAKZAI AGENCY	ISLAMABAD
380	ORMARA	BALOCHISTAN
381	PABBI	KHYBER PUKHTUNKHAWA
382	PAHALIYA	PUNJAB
383	PAHARPUR	KHYBER PUKHTUNKHAWA
384	PAK PATTAN	PUNJAB
385	PALANTUK	BALOCHISTAN
386	PANJGUR	BALOCHISTAN
387	PANO AQIL	SINDH
388	PARACHINAR	GILGIT BALTISTAN
389	PASNI	BALOCHISTAN
390	PASOOR	PUNJAB
391	PASRUR	PUNJAB
392	PATTOKI	PUNJAB
393	PEER JO GOTH	SINDH
394	PEER MAHAL	PUNJAB
395	PENDOO	SINDH
396	PESHAWAR	KHYBER PUKHTUNKHAWA
397	PHALIA	PUNJAB
398	PIHARAK	BALOCHISTAN
399	PIND DADAN KHAN	PUNJAB
400	PINDI BHATIYAN	PUNJAB
401	PINDI GHAEB	PUNJAB
402	PIRMAHAL	PUNJAB
403	PISHIN	BALOCHISTAN
404	PLANDRI	AZAD KASHMIR
405	POKRAN	SINDH
406	PUNCH	AZAD KASHMIR
407	QAMBAR	SINDH
408	QAMRUDDIN KAREZ	BALOCHISTAN
409	QAZI AHMED	SINDH
410	QILA ABDULLAH	BALOCHISTAN
411	QILA DIDAR SINGH	PUNJAB
412	QILA LADGASHT	BALOCHISTAN
413	QILA SAFED	BALOCHISTAN
414	QILA SAIFULLAH	BALOCHISTAN
415	QUAIDABAD	PUNJAB
416	QUETTA	BALOCHISTAN
417	RABWAH	PUNJAB
418	RAHIM YAR KHAN	PUNJAB
419	RAIWIND	PUNJAB
420	RAJAN PUR	PUNJAB
421	RAKHNI	BALOCHISTAN
422	RANIPUR	SINDH
423	RANWAH	PUNJAB
424	RATODERO	SINDH
425	RAWAL TOWN	PUNJAB
426	RAWALAKOT	AZAD KASHMIR
427	RAWALKOT	GILGIT BALTISTAN
428	RAWALPINDI	PUNJAB
429	RENALA KHURD	PUNJAB
430	ROBAT THANA	BALOCHISTAN
431	RODKHAN	BALOCHISTAN
432	ROHRI	SINDH
433	ROJHAN	PUNJAB
434	S F RAHOO	SINDH
435	SADIQABAD	PUNJAB
436	SAFDARABAD	PUNJAB
437	SAHIANWALA	PUNJAB
438	SAHIWAL	PUNJAB
439	SAIDU SHARIF	KHYBER PUKHTUNKHAWA
440	SAINDAK	BALOCHISTAN
441	SAJAWAL	SINDH
442	SAKESAR	KHYBER PUKHTUNKHAWA
